rank,name,anime,favorites,url,description,Age,Birthday,Nationality,Height,Occupation,image
640,Tanaka(田中),Tanaka-kun wa Itsumo KedarugeTanaka-kun wa Kyou mo KedarugeTanaka-kun wa Itsumo Kedaruge Specials,3195,https://myanimelist.net/character/96065/Tanaka,"Birthday: July 25 (Leo) 
 Height: 167 cm (5'6"") 
 Weight: 48 kg 
 Blood-Type: O 
  
 The main character of the manga and a textbook example of a listless guy. He goes through life constantly sighing and refraining from any tiring work, accompanied by his friend, Oota. 
 
   Voice Actors  Ono, KenshoJapanese  Shepard, BlakeEnglish  
 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,"167 cm (5'6"")",,https://cdn.myanimelist.net/images/characters/3/301027.jpg
641,"Akise, Aru(秋瀬 或)",Mirai Nikki (TV)Mirai Nikki (TV): Ura Mirai NikkiMirai Nikki: Redial,3192,https://myanimelist.net/character/8306/Aru_Akise,"Age: 14 years old 
 Birthday: August 17 
 Occupation: Middle School Student 
 Alternate Name: None 
 Likes: Playing Detective 
 Height: 166 cm 
 Weight: 58 kg 
  
 A classmate in Yukiteru's school, Aru Akise dreams of one day becoming the world's greatest detective. The student detective is able to correctly deduce the culprit behind the serial dog murders even before the police.",14 years old,,,166 cm,Middle School Student,https://cdn.myanimelist.net/images/characters/13/144245.jpg
642,"Aioi, Yuuko(相生 祐子)",Nichijou: Nichijou no 0-waNichijouNichijou: Original Jikai Yokoku,3185,https://myanimelist.net/character/10418/Yuuko_Aioi,"Birthday: December 26 
  
 Yuuko has short pale chestnut-brown hair, dark-umber eyes, and wears the schools standard girls uniform. She loves making jokes and other people laugh, but often fails with her jokes or delivery. She tends to be clumsy, taking a simple-minded approach to life; she's not academically inclined, not diligent with her homework, and tends to fail tests. 
  
 (Source: Nichijou Wikia, edited) 
 
   Voice Actors  Honda, MarikoJapanese  Garrett, MorganEnglish  
 
 See MoreRecent Featured Articles What Does ""Sugoi"" Mean?You've probably heard the word ""sugoi"" in anime before and you might have a good idea of what it means. But Japanese can be tricky. Here are a few examples of how it's used and other similar (and not so similar) words.byberuseruku27102,164viewsTop 14 Anime That Will Make You HappyBeen watching too much Berserk? Need something to brighten your day? Give one of these shows a whirl! Every anime on this list is guaranteed to put a smile on your face, even if you've just watched Grave of the Fireflies.byJankenpopp692,463viewsRecommendationCollectionFunnyHeart-warming 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,,,https://cdn.myanimelist.net/images/characters/15/114020.jpg
643,"Kaiba, Seto(海馬 瀬人)",Yu☆Gi☆Oh! Duel MonstersYu☆Gi☆Oh!Yu☆Gi☆Oh! Hikari no Pyramid,3176,https://myanimelist.net/character/1378/Seto_Kaiba,"Birthday: October 25 
 Height: 186 cm 
 Weight: 65 kg 
 Blood type: A 
 Favourite food: Beef fillet, Filet Mignon with Foie Gras sauce 
 Least favourite food: Oden 
  
 Seto Kaiba is the majority shareholder and President of his own multi-national company, KaibaCorp, who aims to become the world's greatest player of the Duel Monsters card game. To accomplish this goal, he must defeat his arch-rival, Yugi Muto. He is largely considered an anti-hero, as his motives are usually ego-centric, but in several cases towards a good cause. 
  
 Kaiba was first introduced as a prodigious, cold-hearted gamer who stopped at nothing to achieve his goals, even resorting to seemingly killing his opponents. He lived a bad childhood because of his good for nothing stepfather. When Kaiba learned that Yugi's grandfather possesses a ""Blue-Eyes White Dragon"" card, he ends up dueling Yami Yugi and lost while ending up in a coma after Yami used his power to momentarily shatter Kaiba's heart to purge it of his evil. Though reformed, later learning his rival's identity to be Atem, Kaiba retains his arrogance and rivalry with Yugi. While Kaiba leaves the story following the Battle City arc, he appears in the anime adaption as a major character and has been mentioned in sequel Yu-Gi-Oh! GX series as the founder of Duel Academy. Among one of the recurring plots in Yu-Gi-Oh! Duel Monsters is Seto Kaiba being forced to deal with either people adversely affected by Gozaburo Kaiba's actions wanting to take their revenge on Seto Kaiba, or people from within KaibaCorp attempting to take over the corporation. 
  
 He can be condescending, selfish, no-nonsense, and narcissistic, but, as Yami Yugi has said he can be oblivious at times. However, it is stated by Mokuba ever since being adopted by Gozaburo, Kaiba became much colder than he used to be. Despite this, Kaiba still has strong brotherly instincts for Mokuba and will put his life in danger in a heart beat to safeguard Mokuba's life. Apart from Mokuba, Kaiba has compassion for children—especially orphans (as he himself was one and knew what it felt like). Kaiba also threw himself between Zorc and two Egyptian children, thus enabling them to make a getaway. At various points during the series, he opens up momentarily, performing kind acts, though always covering them up with sarcasm, and denying them if asked. These occurrences increase in frequency towards the later series. Aside from that, Kaiba maintains a conservative, stiff, and uptight exterior. Like the Pharaoh, pride is Kaiba's strength and weakness; he never backs down from a fight and gives everything he can in a Duel. This results in his sense of superiority and sense of arrogance, making it extremely difficult to earn his respect, and causes him to look down on and treat others as inferior until they do so. This gives him difficulty when forced to rely on others and work as a team. His pride in himself and his accomplishments is a prominent part of his character throughout the series, and he reacts harshly to those who threaten or infringe on it (although it is toned down slightly towards the end). 
  
 (Source: Wikipedia, Yugipedia) 
 
   Voice Actors  Midorikawa, HikaruJapanese  Tsuda, KenjirouJapanese  Stuart, EricEnglish  Scattorin, LorenzoItalian  Schmidt-Foß, GerritGerman  Lima, Mauro EduardoPortuguese (BR)  Breyer, ZoltánHungarian  Mendoza, RicardoSpanish  Choi, HanKorean  J. Lee, ChristianEnglish  Guetat, NessymFrench  Escalante, RafaelSpanish  Allard, PhilippeFrench  Arrieta, PedroSpanish  Dubois, PatriceFrench  
 
 See MoreRecent Featured Articles Top 10 Rich Anime CharactersFiction is filled with the adventures of the super rich, from renegades like Zorro, geniuses like Tony Stark (a.k.a. Iron Man), and lonely rich kids like... Richy Rich. Anime is no exception to this rule and has loads of characters with money as a key defining characteristic.byNicWat1094,506viewsSpoilerCollectionTop 15 Best Anime RivalriesThere's nothing wrong with some friendly competition, but seeing our favorite anime characters embroiled in some decidedly unfriendly competition can be fun too!. Anime is chock-full of rivals who want nothing more than to outdo one another, and prove who is stronger, faster, or just plain better!byNicWat1080,444viewsCollection 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,186 cm,,https://cdn.myanimelist.net/images/characters/13/125445.jpg
644,Lupin III(ルパン三世),Lupin IIILupin III: Alcatraz ConnectionLupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori,3173,https://myanimelist.net/character/1044/Lupin_III,"Age: Late 20s - early 30s 
 Birthday: 10 February (The Castle of Cagliostro) 
 Height: 179 cm 
 Weight: 63 kg 
  
 Lupin III is the grandson of Arsène Lupin. He is the world's most wanted thief. Often in his adventures, he takes it upon himself and his gang to foil other criminals engaged in more serious crimes. He sometimes appears incompetent, but mostly as a charade to catch his opponents off guard. While he has been arrested and thrown in jail on several occasions, he has always managed to break out. His infatuation with Fujiko Mine is perhaps his biggest weakness, as it often lands him in undesirable situations. 
  
 In Monkey Punch's original manga, Lupin is cocky, quite crude, and for the most part remorseless. He is very much the ladies' man, often using them for his own gains, and is not beyond forcing himself upon women who resist him. This is in stark contrast to his better-known anime self, who although a skilled thief, occasionally comes off as a chivalrous goofball who enjoys helping those less fortunate than he. Furthermore, Lupin often takes it upon himself and his gang to stop criminals engaged in more violent crimes and leave them for Zenigata to arrest. In the anime, while he fancies himself a Casanova, his actual success with women is erratic, appearing to fluctuate with the writer. 
  
 Even though his gang's loyalty has been an issue, with Fujiko willing to betray and cohort Goemon promising to eventually kill him, Lupin will still drop everything to come to their aid in a helpless moment; further the team would rather face torture than to betray Lupin (or he betray them) to a third party. This rule of loyalty curiously extends as well to Inspector Zenigata, whom Lupin considers a respected friend and opposition. The Inspector reciprocates this regard and out of gratitude has vowed never to attempt to kill Lupin. Lupin's vendetta against the Tarantula Gang in In Memory of the Walther P-38 was partly settling of past betrayal and mostly vengeful payback for their shooting and nearly killing Zenigata. 
  
 It seems Lupin loves to steal more than actually having the treasure he sought. Lupin relishes more in the challenge of stealing and, as long as he succeeds in the heist, is usually not that upset when he ends up empty-handed; there have been times he has lost the object or intentionally thrown it away. There have also been times when Lupin stole an object only to give it to someone else, such as if it rightfully belonged to them or they needed it more than he did. 
  
 When not involved in criminal activities, Lupin usually spends his time dating beautiful girls, fishing, race car driving, attending formal dinners, playing pool, casino gambling, and participating in café society. His favorite foods seem to be mostly French cuisine, sushi, and seafood; when on a job he may settle with ramen noodles. In Lupin the Third Part V, he is shown with an affection for galettes. He also smokes cigarettes and occasionally cigars and kreteks; in the manga, he's seen smoking a briar pipe. His preferred cigarette is the famous French brand Gitanes. Lupin is a celebrated race car driver, competing in several international events when time allows. He's also a skilled sleight of hand artist who loves to befuddle his opponents with various gimmicks: i.e., a cigarette which explodes into confetti, a gun with a spring-loaded boxing glove that clobbers the shooter, and bubble gum that becomes plastique after brief chewing. 
  
 (Source: Wikipedia, Lupin III Wiki) 
 
   Voice Actors  Strait, SonnyEnglish  Yamada, YasuoJapanese  Kurita, KanichiJapanese  Oliver, TonyEnglish  Furukawa, ToshioJapanese  Hayter, DavidEnglish  Magne, BrunoFrench  Del Giudice, RobertoItalian  Rosa, LuigiItalian  Bergen, BobEnglish  Flechtner, PeterGerman  Silverstein, KeithEnglish  Adriano, PetersonPortuguese (BR)  Molnár, LeventeHungarian  Chesman, YuriPortuguese (BR)  Carabias, JoséSpanish  Kang, Su JinKorean  Kim, JangKorean  Loddi, LorisItalian  Onofri, StefanoItalian  Navarro Torelló, JuanSpanish  Dufris, WilliamEnglish  Pera, RogerSpanish  Coello, RickySpanish  Moscoso, TxemaSpanish  Albanese, FabienFrench  Ramos, EzioPortuguese (BR)  Herrero, AnselmoSpanish  Nozawa, NachiJapanese  Hirokawa, TaichirouJapanese  Ogouz, PhilippeFrench  Donnay, MaximeFrench  Le Madic, YannFrench  Guido, MarcelFrench  Joudrier, TonyFrench  Tejedo, RicardoSpanish  Hatanaka, TasukuJapanese  Ballarta, CarlosSpanish  Garofalo, MatteoItalian  Melazzi, GiorgioItalian  Olmo, SergioSpanish  
 
 See MoreRecent Featured Articles 18 of the Funniest Anime Faces EverSome characters are funny because of all the crazy antics they get up to. But others just have the right kind of physiognomy, which make them prone to pulling off some funny anime faces - intentionally or unintentionally.byMisterD98846,608viewsCollectionFunny11 Anime Starring Grown Adults!These 11 entertaining anime put adults in the limelight.byUnnamedhero135,050views 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",Late 20s - early 30s,,,179 cm,,https://cdn.myanimelist.net/images/characters/5/313502.jpg
645,"Akashiya, Moka(赤夜 萌香)",Rosario to VampireRosario to Vampire Capu2,3153,https://myanimelist.net/character/3861/Moka_Akashiya,"Age: 15-17 
 Birthday: May 8th (outer & inner) 
 Zodiac sign: Taurus (outer & inner) 
 Height: 166 cm 
 Weight: 47 kg 
 Three sizes: 86-56-86 (outer), 90-58-88 (inner) 
  
 Moka is a student of the Yokai Private Academy. She's the first person Tsukune met when he first set foot on the monster realm. Moka's true form is a vampire but she is very sweet and kind. She takes a liking to Tsukune after sucking his blood and seems to get addicted on doing so. 
  
 The reason Moka wears a rosary around her neck is due to her ""inner self."" When her rosary around her neck is removed (to date Tsukune is the only one capable of removing it), the seal that was keeping her true nature is released. A few physical changes occur, signifying her transformation into a super vampire. Her hair turns silver, her pupils turn to slits, along with a corresponding flash of light. More important than any superficial change, Moka's inner personality rises to the surface. Cold and bloodthirsty, the ""inner"" Moka is actually a completely different entity from the ""outer"" Moka, even going so far as to specifically remind Tsukune to ""be kind to the other Moka."" 
  
 Moka is also one of the most popular girls around the school so she gets a lot of attention around the guys, but she pays them no attention with the exception of Tsukune (much to the guys' dismay). Moka is an excellent student, ranking 13th overall on the school exams, and also a member of the Newspaper Club. Moka is afraid of water, the reason being the purifying powers of water have an adverse effect on Vampires, hurting them as well as rendering them unable to properly function. It's revealed in an omake that she loves tomato juice, but prefers Tsukune's blood.",15-17,,,166 cm,,https://cdn.myanimelist.net/images/characters/11/78827.jpg
646,"Nakamura, Yuri(仲村 ゆり)",Angel Beats!Angel Beats! SpecialsKaginado Season 2,3150,https://myanimelist.net/character/22370/Yuri_Nakamura,"Yuri's armament 
 Hand Grenade 
 Beretta 92 pistol 
 Retractable Knife. 
 TDI KRISS Super V Vector 
 Cheytac M200 
 M4-A1 with Beta C-Mag and CQB-R 
  
 Yuri, the leader of the Shinda Sekai Sensen or SSS, the rebellious faction against the god who destined her to have an unreasonable life. She is determined to fight against the evil of the afterlife and is one of the strongest minded. She is one of the two main protagonist of the anime. She has a very strong personality and is the main rival of Angel.",,,,,,https://cdn.myanimelist.net/images/characters/7/119951.jpg
647,"Ooto, Ai(大戸 アイ)",Wonder Egg PriorityWonder Egg Priority: Watashi no Priority,3148,https://myanimelist.net/character/190157/Ai_Ooto,"Birthday: June 15 
  
 A 14-year-old girl who has very distinct heterochromia. Due to a certain event, she is temporarily not attending school. 
  
 (Source: Official Site, translated) 
 
   Voice Actors  Aikawa, KanataJapanese  Krantz, MikaelaEnglish  Horta, LuísaPortuguese (BR)  Trujillo, AndreaSpanish  
 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,,,https://cdn.myanimelist.net/images/characters/10/431621.jpg
648,"Enoshima, Junko(江ノ島 盾子)",Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-henDanganronpa: Kibou no Gakuen to Zetsubou no Koukousei The AnimationDanganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,3148,https://myanimelist.net/character/65523/Junko_Enoshima,"Height: 169 cm 
 Weight: 44 kg 
 Chest: 90 cm 
 Age: 17 During Trigger Havoc 
 Specialty: Super High School Level Fashion Girl (Gyaru) / Super High School Level Fashion Diva",17 During Trigger Havoc,,,169 cm,,https://cdn.myanimelist.net/images/characters/3/554960.jpg
649,"Hasegawa, Langa(馳河 ランガ)",SK∞SK∞ OVA: Extra PartSK∞: Crazy Rock Jam,3132,https://myanimelist.net/character/188061/Langa_Hasegawa,"Age: 17 
 Birthday: February 8 (Aquarius) 
 Height: 178cm 
 Weight: 64kg 
 Blood type: AB 
 Talent: Snowboarding, skateboarding 
 Nationality: Canadian/Japanese 
  
 Langa has been snowboarding since 2yrs old but after his fathers death he moved to Okinawa with his mother where he meets Reki, and rediscovers his passion for sports through skateboarding. 
 
   Voice Actors  Kobayashi, ChiakiJapanese  Wang, HowardEnglish  Martim, RodrigoPortuguese (BR)  Ruiz, VíctorSpanish  Laisné, GrégoryFrench  
 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",17,,Canadian/Japanese,178cm,,https://cdn.myanimelist.net/images/characters/4/564145.jpg
650,Envy(エンヴィー),Fullmetal AlchemistFullmetal Alchemist: The Conqueror of ShamballaFullmetal Alchemist: Reflections,3122,https://myanimelist.net/character/651/Envy,"Envy is a homunculus who has the ability of shape-shifting. They use this power to assume the form of any person and even copy their voice. They usually serve as a spy, but their abilities are also extremely useful for assassinations. Envy may not be as smart as some of the other homunculi, but is by no means an idiot. In fact, they can be just as good a puppet master as Lust, but this is overshadowed by their cockiness and bad temper. Their temper can easily be set off by insulting their large and delicate ego, causing them to make mistakes. 
  
  In the 2003 anime series: 
 As the oldest Homunculus, Envy claimed that they had forgotten what they originally looked like. Envy also greatly hates all humans and follows Dante mostly for the opportunity of killing as many people as they could. This is what drove Envy in all that they did and unlike other Homunculi, Envy does not care about the Philosopher's Stone, nor about becoming human.",,,,,,https://cdn.myanimelist.net/images/characters/14/79027.jpg
651,Nausicaä(ナウシカ),Kaze no Tani no Nausicaä,3099,https://myanimelist.net/character/539/Nausicaä,"The Princess of the Valley of Wind. She is clever, resourceful, and a skilled swordswoman. She is a windrider, who can read and utilize the wind well, and flies a ""Mehve,"" a glider with an engine. She has an empathetic ability and can even communicate with insects from the Sea of Corruption. As a next chieftain of the Valley, she joins Kushana's army, but the gruesome reality of the war devastates her. She desperately tries to stop mass killing and suffering, and her quest for the truth leads her to the most unimaginable places, and to the biggest secret of the world. 
  
 (Source: nausicaa.net) 
 
   Voice Actors  Shimamoto, SumiJapanese  Lohman, AlisonEnglish  Kortemeier, AnkeGerman  Chetail, AdelineFrench  Tamási, NikolettHungarian  Aguirre, RossySpanish  Wu, Jeong SinKorean  Del Bosco, PaolaItalian  Ciampa, LetiziaItalian  Dougnac, Marie-LaureFrench  Barrera, MildredSpanish  Davis, SusanEnglish  
 
 See MoreRecent Featured Articles Top 27 Best Hayao Miyazaki Anime Movies [Updated]Hayao Miyazaki, one of the most famous directors in the world, has produced many extraordinary works such as Spirited Away and Howl's Moving Castle. Take a look at our countdown of Studio Ghibli films directed by Hayao Miyazaki based on MAL user ratings!byCamelot3381,560viewsRecommendationCollectionCute GirlsDirectorHeart-warmingMagicalFamilySupernaturalGIFGhibliTop 15 Anime PrincessesThey say every little girl dreams of being a princess. While proper lineage is technically all you need to be an anime princess, truly fulfilling the role requires grace and courage.byNicWat10362,176viewsCollectionCute GirlsHot 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,,,https://cdn.myanimelist.net/images/characters/13/310238.jpg
652,"Noda, Megumi(野田 恵)",Nodame CantabileNodame Cantabile: Nodame to Chiaki no Umi MonogatariNodame Cantabile: Paris-hen,3091,https://myanimelist.net/character/1185/Megumi_Noda,"Birthdate: September 10th, 1981 
 Zodiac sign: Virgo 
 Height: 162 cm 
 Blood type: B 
  
 Also known as Nodame, which is a portmanteau of her family name and the first mora of her given name. Noda is, at the start of the series, a twenty-year-old free-spirited second-year music student. She is depicted as a complete slob: her cooking and cleaning skills are atrocious to the point of having mushrooms growing on her clothes and poisoning anyone who dares to eat her food (yet she's never been poisoned). However she is an incredibly talented pianist who primarily plays by ear, in a cantabile style. In love with Chiaki, she follows him around constantly, claiming to be his ""wife,"" and leans on him to help her get through sticky situations. She sometimes compulsively needs to play the piano, neglecting everything in order to do it. As well as that, she seems to enjoy childish manga and movies. She is constantly hungry, and is fed dinners by Chiaki; she also steals many lunches from her fellow friend, Maki. Nodame has a tendency to speak cryptically (sometimes she doesn't even understand herself), often refers to herself in the third person and uses nonsense words like mukya and gyabo. 
  
 Nodame is initially very dependent on Chiaki in terms of ambition - she has little intention of becoming a professional pianist, despite her remarkable talent, and wants to become a kindergarten teacher, though many feel she is too reckless and lacks the appropriate sensibility to be responsible with teaching children. Her piano style is considered to be completely haphazard, diverting from original intent at both dynamics, rhythms and even themes. Realizing that her current attitude towards music will eventually drive her apart from Chiaki, Nodame gradually develops the necessary drive to pursue music for her own sake. Her attitude towards music is largely due to an incident in the past where she was hurt by a teacher who demanded her to play music ""as it's written."" 
  
 Nodame's character is based on a real-life counterpart with same name. 
 
   Voice Actors  Kawasumi, AyakoJapanese  Higgins, KateEnglish  Quinto, LetíciaPortuguese (BR)  Dögei, ÉvaHungarian  Rivero, YensiSpanish  Yun, Yeo JinKorean  Henríquez, MelanieSpanish  
 
 See MoreRecent Featured Articles 10 Coming-of-Age Anime That Will Warm Your Shriveled Black HeartGrowing up is often rife with events that end up shaping who you become. Sure, most people's formative years aren't as exciting as how they're portrayed in these Coming-of-Age anime, but check these ones out and you might (momentarily) forget about how much you missed out on! Hooray for anime!byAi_Sakura191,838viewsSpoilerCollectionFriendshipHeart-warmingLoveSchool LifeTop 20 Anime Girls with Brown Hair on MALThe world of anime is home to all kinds of characters, with unique hairstyles, as well as unique hair colors. Pink, purple, orange, red... you name it! But for those of you who like your anime girls a bit more old school, check out this list of the top 20 anime girls with brown hair on MyAnimeList.byAi_Sakura1,576,196viewsCollectionCharacter AnalysisCute GirlsKawaiiMoeHotGIF 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,"September 10th, 1981",,162 cm,,https://cdn.myanimelist.net/images/characters/11/92497.jpg
653,Kobayashi(小林さん),"Kobayashi-san Chi no Maid DragonKobayashi-san Chi no OO DragonKobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",3090,https://myanimelist.net/character/136726/Kobayashi,"Age: 25 
  
 A normal office worker who suddenly finds herself living with a dragon. While typically stoic and kind-hearted, she can get wild when drunk and has a particular fascination with maids. She is occasionally mistaken as a boy, due to her lack of feminine features, particularly her flat chest. 
  
 (Source: Wikipedia) 
 
   Voice Actors  Tamura, MutsumiJapanese  Clark, LeahEnglish  Torres, MarianaPortuguese (BR)  Schadt, ShandraGerman  Roy, FannyFrench  Arruti, LourdesSpanish  
 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",25,,,,,https://cdn.myanimelist.net/images/characters/3/456442.jpg
654,Yui(ユイ),Angel Beats! SpecialsAngel Beats!Kaginado Season 2,3089,https://myanimelist.net/character/24515/Yui,"Height: 163 cm 
  
 Yui loves to play her guitar. She is a member of Iwasawa and Hisako's band. She is full of life and life of the band itself. She wants to become a pro-musician.",,,,163 cm,,https://cdn.myanimelist.net/images/characters/11/150391.jpg
655,Sylphiette(シルフィエット),Mushoku Tensei: Isekai Ittara Honki DasuMushoku Tensei II: Isekai Ittara Honki DasuMushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz,3075,https://myanimelist.net/character/111337/Sylphiette,"Sylphiette is Rudeus' childhood friend who is part human, elf, and beast race. 
  
 In her youth, she had short green hair and elfish ears. Her tomboyish appearance initially made Rudeus believe she was a boy.",,,,,,https://cdn.myanimelist.net/images/characters/10/423669.jpg
656,"Oga, Tatsumi(男鹿 辰巳)",Beelzebub: Hirotta Akachan wa Daimaou!?BeelzebubBeelzebub Specials,3071,https://myanimelist.net/character/20766/Tatsumi_Oga,Error processing https://myanimelist.net/character/20766/Tatsumi_Oga: 'src',,,,,,https://cdn.myanimelist.net/images/characters/14/154439.jpg
657,"Hasegawa, Taizou(長谷川 泰三)",GintamaGintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga ChoudoyoiGintama: Shiroyasha Koutan,3068,https://myanimelist.net/character/3760/Taizou_Hasegawa,"Age: 38 
 Birthday: June 13 
 Zodiac: Gemini 
 Height: 179 cm 
 Weight: 67 kg 
  
 Hasegawa used to be an official working for the Bakufu, but after an unfortunate incident with Amanto dignitary Prince Hata, whom he was assigned to serve and protect, his superior asked him to succumb to his shame and commit seppuku, hearing that he ran away from his quarters. 
  
 He initially believed that humans should focus on appeasing the Amanto, but after his encounter with Gintoki, his mindset changed, which led to him punching Hata out, thus getting fired. Since then, he has been living a life of somewhat like a loser, getting fired almost every time he gets a new job, mostly due to the unfavourable look his sunglasses and goatee give him. 
  
 No matter what, he refuses to remove his sunglasses because it's the only thing he had left to remind him of his successful past. Although he does exchange the sunglasses for a decent pair of half-moon spectacles at one point, he goes back to wearing them after he decides that he is going to live out his life in the best way he can. He is constantly seen working various part-time jobs. He is often referred to as ""Madao,"" short for ""marude damena ossan,"" which roughly translates into ""totally useless middle-aged man."" 
  
 He and Gintoki are on good terms with one another and seem to spend most of their free time gambling. He often plays pachinko, but rarely ever wins. After losing his job for the Bakufu, he is seen doing odd jobs from time to time, like running a supermarket for a friend or driving a taxi at one time. 
  
 He's currently estranged from his wife Hatsu, because of his jobless lifestyle, however they still keep in touch. 
  
 It is revealed in episode 52 that he is 38 years old after he pees his pants. 
 
   Voice Actors  Ayres, ChristopherEnglish  Tachiki, FumihikoJapanese  Roca, JaimeSpanish  Kim, Seung junKorean  Bitossi, MassimoItalian  Cole, TedEnglish  Rudolf, ChristianGerman  Covarrubias, VíctorSpanish  Love, AndrewEnglish  Mei, FrancescoItalian  Anaya, RaúlSpanish  
 
 See MoreRecent Featured Articles A Detailed Overview of the Gintama CharactersIf you're interested in an anime that's constantly hilarious, but also has a great balance with serious plots, Gintama is an anime to check out. To start you off, read this article that features the main and minor characters you'll see in this unique anime series.byCamelot3142,368viewsSpoilerArch EnemiesCharacter AnalysisFriendshipFunnyMonsters 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",38,,,179 cm,,https://cdn.myanimelist.net/images/characters/5/115541.jpg
